model,scope,seed,horizon_s,rmse_deg,mae_deg,r2
20t,LOVO,2,1,1.749517074869196,1.324156926964247,0.9205412429763882
20t,LOVO,2,2,2.180652023882437,1.6412674961966967,0.8765263763765163
20t,LOVO,2,3,3.5096171223785837,2.6592172732571933,0.6800713522501565
20t,LOVO,2,4,4.827242872522161,3.672674239297785,0.3947523494129075
20t,LOVO,2,5,4.782964016524544,3.6001959021870342,0.4057026512689147
20t,LOVO,2,overall,3.6417711109815505,2.5795023675805915,0.6555689838305762
20t,LOVO,3,1,1.753228186484903,1.3311667911116478,0.9202037863450729
20t,LOVO,3,2,2.191071636014494,1.6439410643375298,0.8753435916417368
20t,LOVO,3,3,3.4706662986985743,2.6351239184257023,0.687133281343695
20t,LOVO,3,4,4.810151803015405,3.651821160125855,0.39903057516476037
20t,LOVO,3,5,4.769367315297553,3.620601910945525,0.4090767089137112
20t,LOVO,3,overall,3.6277969485966377,2.576530968989252,0.6582072059213173
20t,LOVO,4,1,1.715954660642908,1.2962947846701285,0.9235606450599929
20t,LOVO,4,2,2.131188250656614,1.5993883327700422,0.8820643561233668
20t,LOVO,4,3,3.4711735894390405,2.623395387245353,0.6870418141872607
20t,LOVO,4,4,4.796292393301326,3.6151749835521896,0.4024887122895884
20t,LOVO,4,5,4.770065349818118,3.5872619980177136,0.4089037236877393
20t,LOVO,4,overall,3.613681059770318,2.5443030972510847,0.6608618873119892
30t,LOVO,0,1,1.7109925834294015,1.3092893745362972,0.9281461985795926
30t,LOVO,0,2,2.12865358016455,1.6252672374746293,0.888756292831544
30t,LOVO,0,3,3.4861174652623697,2.6482738780631823,0.7016560669712256
30t,LOVO,0,4,4.873622109188082,3.7124401142538446,0.4169200428774009
30t,LOVO,0,5,4.823033388772059,3.663049164065765,0.42895160836924684
30t,LOVO,0,overall,3.650356700348121,2.591663953678744,0.6728910760876179
30t,LOVO,1,1,1.6665441954535407,1.2734036324690707,0.9318309618966167
30t,LOVO,1,2,2.105443680915521,1.6000789851098358,0.8911689719157969
30t,LOVO,1,3,3.474072892592506,2.6456667296057566,0.7037140684911058
30t,LOVO,1,4,4.854134099562965,3.7021880123325155,0.42157380920549803
30t,LOVO,1,5,4.817570885816803,3.690295344682964,0.43024439936055225
30t,LOVO,1,overall,3.6345853190800925,2.5823265408400284,0.6757115209507871
30t,LOVO,2,1,1.6649224885901825,1.2688716347737712,0.9319635673316311
30t,LOVO,2,2,2.097275980986587,1.5885937299430875,0.8920117159170394
30t,LOVO,2,3,3.476043510285406,2.646728268831143,0.703377845324978
30t,LOVO,2,4,4.8470578044147326,3.675470994133965,0.42325902470159393
30t,LOVO,2,5,4.788120047414316,3.632823856915857,0.43718918183800404
30t,LOVO,2,overall,3.624181972987077,2.562497696919565,0.6775652988662413
30t,LOVO,3,1,1.6872231549079968,1.2944984282241312,0.9301287441675711
30t,LOVO,3,2,2.1177003832059884,1.6123450419862126,0.8898981783470273
30t,LOVO,3,3,3.4844179397840485,2.6672471577126458,0.7019468887955813
30t,LOVO,3,4,4.859886263882816,3.7165735198057672,0.42020212321544004
30t,LOVO,3,5,4.806672712789828,3.6878329173035964,0.4328192537922504
30t,LOVO,3,overall,3.6385475765017175,2.595699413006472,0.6750040868435936
30t,LOVO,4,1,1.7313118804106675,1.3165849460605705,0.9264294311974993
30t,LOVO,4,2,2.1962237796292965,1.6575614025946865,0.8815817460496513
30t,LOVO,4,3,3.4926849522084185,2.665512229604215,0.7005309095255189
30t,LOVO,4,4,4.891998648405935,3.7276161154154868,0.41251461607238105
30t,LOVO,4,5,4.868311999636939,3.737758352966943,0.4181792810337669
30t,LOVO,4,overall,3.678363777405871,2.6210066093283806,0.6678523850654584
40t,LOVO,0,1,1.6830662082816588,1.281333538778289,0.9325793514908075
40t,LOVO,0,2,2.088473000117035,1.5915453932079544,0.8961919856098303
40t,LOVO,0,3,3.4435580950207276,2.607662721376946,0.717752957087519
40t,LOVO,0,4,4.867376433868116,3.71065166615373,0.4359483417175467
40t,LOVO,0,5,4.821415911941861,3.6804005854982,0.4465248333402122
40t,LOVO,0,overall,3.632903203564914,2.574318781003023,0.6858342181857149
40t,LOVO,1,1,1.6562204718398457,1.2608682702254324,0.9347129836658276
40t,LOVO,1,2,2.101917538335573,1.598868645440569,0.8948511561467707
40t,LOVO,1,3,3.393917032587452,2.5916263376557054,0.7258318415914635
40t,LOVO,1,4,4.8720810058604425,3.7244018815263464,0.43485744435163187
40t,LOVO,1,5,4.847080761397765,3.6837218267404785,0.440616749912793
40t,LOVO,1,overall,3.6307344063858413,2.571897392317707,0.6862092122006902
40t,LOVO,2,1,1.709714334212797,1.3015103311528822,0.9304274966802855
40t,LOVO,2,2,2.1491047304210507,1.618569467991185,0.8900770654099076
40t,LOVO,2,3,3.401348724526656,2.604041293743387,0.7246298298297611
40t,LOVO,2,4,4.899641893961393,3.7645591194076307,0.42844544660453177
40t,LOVO,2,5,4.876279437946337,3.744083648229877,0.43385703332841874
40t,LOVO,2,overall,3.657746279849651,2.6065527721049917,0.6815227734884155
40t,LOVO,3,1,1.6697090439521565,1.2763549042117686,0.9336452337548331
40t,LOVO,3,2,2.1186834546598035,1.6121306322908981,0.8931670295092381
40t,LOVO,3,3,3.3968265663167103,2.5979165508732205,0.7253615628998624
40t,LOVO,3,4,4.880482704555309,3.7297884629199074,0.4329066346399806
40t,LOVO,3,5,4.847633912277047,3.7191136307711057,0.4404890685277971
40t,LOVO,3,overall,3.636862509665763,2.58706083621338,0.6851490602032063
40t,LOVO,4,1,1.6575790788494937,1.2633894060379105,0.934605829117447
40t,LOVO,4,2,2.114945309432726,1.6079324883041668,0.8935436830868296
40t,LOVO,4,3,3.3982450421518227,2.604870733335075,0.7251321432822426
40t,LOVO,4,4,4.877005925566752,3.7376945809920343,0.43371432360330386
40t,LOVO,4,5,4.844068942302711,3.6858610475624616,0.44131169922721547
40t,LOVO,4,overall,3.633698450527654,2.5799496512463294,0.6856966605824111
50t,LOVO,0,1,1.698843982159142,1.297757333873943,0.9335196215869108
50t,LOVO,0,2,2.1438965011597797,1.6383234198198176,0.8941170871297308
50t,LOVO,0,3,3.3834198655031207,2.5658653971189276,0.7362542395930576
50t,LOVO,0,4,4.892880612752752,3.7561661642019635,0.4483631827597738
50t,LOVO,0,5,4.850898273804553,3.6931333443693672,0.4576684103617896
